mappath	city	weather	temp	last_update
guangxi,hezhou	贺州	晴	10	2017-01-26T09:50:00+08:00
hubei,huanggang	黄冈	晴	7	2017-01-26T09:45:00+08:00
gansu,lanzhou	兰州	浮尘	1	2017-01-26T10:10:00+08:00
chongqing,chongqing	重庆	阴	10	2017-01-26T09:45:00+08:00
sichuan,mianyang	绵阳	多云	9	2017-01-26T09:45:00+08:00
hunan,hengyang	衡阳	多云	7	2017-01-26T09:00:00+08:00
guangdong,jieyang	揭阳	晴	15	2017-01-26T09:45:00+08:00
beijing,beijing	北京	阴	-1	2017-01-26T09:45:00+08:00
guangdong,meizhou	梅州	多云	13	2017-01-26T09:45:00+08:00
shaanxi,xianyang	咸阳	多云	7	2017-01-26T09:40:00+08:00
hebei,handan	邯郸	多云	3	2017-01-26T09:45:00+08:00
hubei,suizhou shi	随州	多云	6	2017-01-26T09:15:00+08:00
yunnan,nujiang lisu	怒江	晴	11	2017-01-26T09:55:00+08:00
guizhou,guiyang	贵阳	阴	9	2017-01-26T09:45:00+08:00
shandong,zibo	淄博	多云	8	2017-01-26T09:45:00+08:00
anhui,suzhou	宿州	多云	6	2017-01-26T09:45:00+08:00
guizhou,qiannan buyei and miao	都匀	多云	8	2017-01-26T09:45:00+08:00
hubei,xiaogan	孝感	晴	9	2017-01-26T09:45:00+08:00
xinjiang uygur,kashgar	喀什	中雪	-4	2017-01-26T09:40:00+08:00
liaoning,benxi	本溪	阴	0	2017-01-26T09:40:00+08:00
shanxi,yuncheng	运城	多云	4	2017-01-26T09:55:00+08:00
jiangxi,pingxiang	萍乡	晴	8	2017-01-26T09:55:00+08:00
yunnan,chuxiong yi	楚雄	多云	9	2017-01-26T09:45:00+08:00
hebei,qinhuangdao	秦皇岛	雨夹雪	1	2017-01-26T09:45:00+08:00
shaanxi,baoji	宝鸡	晴	4	2017-01-26T09:40:00+08:00
fujian,xiamen	厦门	多云	13	2017-01-26T09:45:00+08:00
henan,jiyuan shi	济源	多云	5	2017-01-26T09:55:00+08:00
guangxi,guigang	贵港	晴	16	2017-01-26T09:40:00+08:00
liaoning,panjin	盘锦	阴	3	2017-01-26T09:40:00+08:00
guangxi,fangchenggang	防城港	晴	18	2017-01-26T09:40:00+08:00
hebei,shijiazhuang	石家庄	阴	-4	2017-01-26T09:45:00+08:00
henan,xinxiang	新乡	多云	5	2017-01-26T09:55:00+08:00
guangdong,shantou	汕头	多云	16	2017-01-26T09:45:00+08:00
guangdong,shanwei	汕尾	多云	16	2017-01-26T09:55:00+08:00
yunnan,dêqên tibetan	N/A	N/A	N/A	N/A
heilongjiang,daxing'anling	大兴安岭	多云	-16	2017-01-26T09:40:00+08:00
ningxia hui,yinchuan	银川	多云	-2	2017-01-26T09:05:00+08:00
hebei,zhangjiakou	张家口	多云	0	2017-01-26T09:45:00+08:00
hubei,qianjiang	潜江	晴	8	2017-01-26T09:45:00+08:00
jilin,siping	四平	小雪	1	2017-01-26T09:00:00+08:00
gansu,linxia hui	临夏	多云	-2	2017-01-26T09:40:00+08:00
fujian,sanming	三明	多云	10	2017-01-26T09:55:00+08:00
hunan,zhangjiajie	张家界	晴	3	2017-01-26T09:05:00+08:00
qinghai,xining	西宁	晴	-13	2017-01-23T01:35:00+08:00
hubei,jingmen	荆门	晴	7	2017-01-23T01:35:00+08:00
guangxi,guilin	桂林	晴	10	2017-01-23T01:20:00+08:00
xizang,shannan	山南	晴	3	2017-01-23T01:20:00+08:00
guangdong,zhanjiang	湛江	晴	14	2017-01-23T01:35:00+08:00
jilin,liaoyuan	辽源	晴	-25	2017-01-23T01:00:00+08:00
yunnan,xishuangbanna dai	N/A	N/A	N/A	N/A
guangdong,qingyuan	清远	晴	12	2017-01-23T01:35:00+08:00
gansu,tianshui	天水	晴	-5	2017-01-23T01:20:00+08:00
sichuan,ngawa tibetan and qiang	N/A	N/A	N/A	N/A
henan,sanmenxia	三门峡	多云	-2	2017-01-23T01:25:00+08:00
liaoning,fushun	抚顺	多云	-23	2017-01-23T01:40:00+08:00
ningxia hui,guyuan	固原	晴	-8	2017-01-23T01:05:00+08:00
guangxi,nanning	南宁	晴	10	2017-01-23T01:05:00+08:00
xinjiang uygur,kizilsu kirghiz	N/A	N/A	N/A	N/A
xinjiang uygur,börtala mongol	N/A	N/A	N/A	N/A
liaoning,dalian	大连	晴	-10	2017-01-23T01:40:00+08:00
guangxi,liuzhou	柳州	晴	9	2017-01-23T01:30:00+08:00
sichuan,bazhong	巴中	多云	5	2017-01-23T01:40:00+08:00
shaanxi,shangluo	商洛	阴	-2	2017-01-23T01:20:00+08:00
hunan,shaoyang	邵阳	晴	6	2017-01-23T01:00:00+08:00
nei mongol,alxa	N/A	N/A	N/A	N/A
hebei,cangzhou	沧州	晴	-8	2017-01-23T01:40:00+08:00
hebei,xingtai	邢台	晴	-5	2017-01-23T01:35:00+08:00
shandong,dongying	东营	晴	-8	2017-01-23T01:40:00+08:00
shandong,qingdao	青岛	晴	-5	2017-01-23T01:35:00+08:00
sichuan,luzhou	泸州	阴	8	2017-01-23T01:45:00+08:00
henan,kaifeng	开封	晴	1	2017-01-23T01:35:00+08:00
henan,zhumadian	驻马店	阴	-2	2017-01-23T01:40:00+08:00
jiangxi,shangrao	上饶	晴	4	2017-01-23T01:35:00+08:00
